Quality,Qualityid,GroupName,hsn,rate,width,Uom,pid
WONDER,1609,Jacquard,551611,0,3,Mtr,1609
40X60/72X72,1610,Jacquard,520811,0,6,Mtr,1610
RAYON STYLE-4,1611,Jacquard,551511,0,3,Mtr,1611
RADAR,1612,Kurti,62114210,0,3,Mtr,1612
TAG,1613,Kurti,58071020,0,3,Mtr,1613
VICA,1614,Kurti,62114210,0,6,Mtr,1614
INK MH,1615,Kurti,62114210,0,3,Mtr,1615
VEGAS,1616,Jacquard,551511,0,3,Mtr,1616
TOWER,1617,Jacquard,520811,0,4,Mtr,1617
TOWER.,1618,Jacquard,520811,0,6,Mtr,1618
ZARA MMF,1619,Kurti,62114210,0,1,Mtr,1619
GOLDBERG,1620,Jacquard,551611,0,3,Mtr,1620
GOLD FLEX,1621,Jacquard,551511,0,3,Mtr,1621
FOXY-1,1622,Jacquard,551611,0,3,Mtr,1622
FOXY-2,1623,Jacquard,551611,0,3,Mtr,1623
FOXY-3,1624,Jacquard,551611,0,3,Mtr,1624
FOXY-4,1625,Jacquard,551611,0,3,Mtr,1625
SOU-NAV,1626,Kurti,62114210,0,6,Mtr,1626
205014,1627,Kurti,62114210,0,1,Mtr,1627
SIRA,1628,Kurti,62114210,0,6,Mtr,1628
K-ROCKET,1629,Kurti,620610,0,4,Mtr,1629
HUSKY-11,1630,Jacquard,551511,0,3,Mtr,1630
HUSKY-10,1631,Jacquard,551611,0,3,Mtr,1631
DEJAVU,1632,Jacquard,551511,0,3,Mtr,1632
FOXY,1633,Jacquard,551611,0,3,Mtr,1633
709,1634,Kurti,62114210,0,3,Mtr,1634
715,1635,Kurti,62114210,0,3,Mtr,1635
707,1636,Kurti,62114210,0,6,Mtr,1636
710,1637,Kurti,62114210,0,6,Mtr,1637
711,1638,Kurti,62114210,0,3,Mtr,1638
701,1639,Kurti,62114210,0,6,Mtr,1639
ARKE,1640,Kurti,621142,0,6,Mtr,1640
PLAIN PANT,1641,Kurti,62114210,0,6,Mtr,1641
703,1642,Kurti,62114210,0,6,Mtr,1642
726,1643,Kurti,62114210,0,6,Mtr,1643
702,1644,Kurti,62114210,0,6,Mtr,1644
MODAL PRINT,1645,Kurti,62114210,0,3,Mtr,1645
728,1646,Kurti,62114210,0,6,Mtr,1646
723,1647,Kurti,62114210,0,3,Mtr,1647
725,1648,Kurti,62114210,0,6,Mtr,1648
722,1649,Kurti,62114210,0,6,Mtr,1649
705,1650,Kurti,62114210,0,3,Mtr,1650
717,1651,Kurti,62114210,0,6,Mtr,1651
714,1652,Kurti,62114210,0,6,Mtr,1652
708,1653,Kurti,62114210,0,6,Mtr,1653
718,1654,Kurti,62114210,0,6,Mtr,1654
704,1655,Kurti,62114210,0,6,Mtr,1655
716,1656,Kurti,62114210,0,6,Mtr,1656
706,1657,Kurti,62114210,0,6,Mtr,1657
CKN,1658,Kurti,620610,0,6,Mtr,1658
205018,1659,Kurti,62114210,0,6,Mtr,1659
YARA,1660,Kurti,621142,0,6,Mtr,1660
HASHTAG,1661,Jacquard,551512,0,3,Mtr,1661
